# 
# Refractive index taken form OPAC database 
# 
# Material :
# sea salt (acc., 0%) 
# 
#  nlambda = 
61 
# wavelength          ref.real         ref.imag  
#   [um]      
2.500000000e-01   1.510000000e+00   5.000000000e-06
3.000000000e-01   1.510000000e+00   2.000000000e-06
3.500000000e-01   1.510000000e+00   3.240000000e-07
4.000000000e-01   1.500000000e+00   3.000000000e-08
4.500000000e-01   1.500000000e+00   2.430000000e-08
5.000000000e-01   1.500000000e+00   1.550000000e-08
5.500000000e-01   1.500000000e+00   1.000000000e-08
6.000000000e-01   1.490000000e+00   1.600000000e-08
6.500000000e-01   1.490000000e+00   4.240000000e-08
7.000000000e-01   1.490000000e+00   2.000000000e-07
7.500000000e-01   1.490000000e+00   1.080000000e-06
8.000000000e-01   1.480000000e+00   1.950000000e-06
9.000000000e-01   1.480000000e+00   4.240000000e-05
1.000000000e+00   1.470000000e+00   1.410000000e-04
1.250000000e+00   1.470000000e+00   3.580000000e-04
1.500000000e+00   1.460000000e+00   5.700000000e-04
1.750000000e+00   1.450000000e+00   7.620000000e-04
2.000000000e+00   1.450000000e+00   1.000000000e-03
2.500000000e+00   1.430000000e+00   4.000000000e-03
3.000000000e+00   1.610000000e+00   1.000000000e-02
3.200000000e+00   1.490000000e+00   3.000000000e-03
3.390000000e+00   1.480000000e+00   2.050000000e-03
3.500000000e+00   1.480000000e+00   1.600000000e-03
3.750000000e+00   1.470000000e+00   1.400000000e-03
4.000000000e+00   1.480000000e+00   1.400000000e-03
4.500000000e+00   1.490000000e+00   1.400000000e-03
5.000000000e+00   1.470000000e+00   2.500000000e-03
5.500000000e+00   1.420000000e+00   3.600000000e-03
6.000000000e+00   1.410000000e+00   1.100000000e-02
6.200000000e+00   1.600000000e+00   2.200000000e-02
6.500000000e+00   1.460000000e+00   5.000000000e-03
7.200000000e+00   1.420000000e+00   7.000000000e-03
7.900000000e+00   1.400000000e+00   1.300000000e-02
8.200000000e+00   1.420000000e+00   2.000000000e-02
8.500000000e+00   1.480000000e+00   2.600000000e-02
8.700000000e+00   1.600000000e+00   3.000000000e-02
9.000000000e+00   1.650000000e+00   2.800000000e-02
9.200000000e+00   1.610000000e+00   2.620000000e-02
9.500000000e+00   1.580000000e+00   1.800000000e-02
9.800000000e+00   1.560000000e+00   1.600000000e-02
1.000000000e+01   1.540000000e+00   1.500000000e-02
1.060000000e+01   1.500000000e+00   1.400000000e-02
1.100000000e+01   1.480000000e+00   1.400000000e-02
1.150000000e+01   1.480000000e+00   1.400000000e-02
1.250000000e+01   1.420000000e+00   1.600000000e-02
1.300000000e+01   1.410000000e+00   1.800000000e-02
1.400000000e+01   1.410000000e+00   2.300000000e-02
1.480000000e+01   1.430000000e+00   3.000000000e-02
1.500000000e+01   1.450000000e+00   3.500000000e-02
1.640000000e+01   1.560000000e+00   9.000000000e-02
1.720000000e+01   1.740000000e+00   1.200000000e-01
1.800000000e+01   1.780000000e+00   1.300000000e-01
1.850000000e+01   1.770000000e+00   1.350000000e-01
2.000000000e+01   1.760000000e+00   1.520000000e-01
2.130000000e+01   1.760000000e+00   1.650000000e-01
2.250000000e+01   1.760000000e+00   1.800000000e-01
2.500000000e+01   1.760000000e+00   2.050000000e-01
2.790000000e+01   1.770000000e+00   2.750000000e-01
3.000000000e+01   1.770000000e+00   3.000000000e-01
3.500000000e+01   1.760000000e+00   5.000000000e-01
4.000000000e+01   1.740000000e+00   1.000000000e+00
